Date,Open,High,Low,Close,Volume
11/28/2011 15:30:00,30611.48,31099.76,28846.15,29484.68,539693
11/29/2011 15:30:00,30010.52,30761.72,28921.27,29484.68,387071
11/30/2011 15:30:00,29897.84,30799.28,26930.59,27794.47,587196
12/1/2011 15:30:00,28207.63,28846.15,26930.59,28545.67,586883
12/2/2011 15:30:00,28695.91,28733.47,27493.99,27569.11,194987
12/5/2011 15:30:00,27531.55,27756.91,26367.19,26404.75,179919
12/6/2011 15:30:00,26404.75,29296.88,25991.59,27606.67,614619
12/7/2011 15:30:00,27606.67,27756.91,26705.23,26705.23,200254
12/8/2011 15:30:00,26968.15,27493.99,26367.19,26554.99,130230
12/9/2011 15:30:00,26329.63,27907.15,26104.27,27306.19,241466
12/12/2011 15:30:00,27606.67,29559.8,27118.39,28808.59,296189
12/13/2011 15:30:00,28545.67,30198.32,28170.07,29146.63,199465
12/14/2011 15:30:00,29972.96,30573.92,28808.59,28808.59,86658
12/15/2011 15:30:00,28771.03,32376.8,27756.91,30311,233623
12/16/2011 15:30:00,30536.36,30911.96,29597.36,30724.16,99022
12/19/2011 15:30:00,30198.32,30611.48,27155.95,29897.84,123763
12/20/2011 15:30:00,29672.48,31212.44,29409.56,29972.96,67052
12/21/2011 15:30:00,29972.96,31062.2,29822.72,30423.68,72928
12/22/2011 15:30:00,30649.04,30686.6,28996.39,29221.75,99612
12/23/2011 15:30:00,27418.87,29672.48,27231.07,28808.59,382866
12/26/2011 15:30:00,28808.59,29109.07,27869.59,28470.55,46006
12/27/2011 15:30:00,28094.95,28432.99,26780.35,27756.91,82842
12/28/2011 15:30:00,27456.43,28245.19,27418.87,28245.19,41308
12/29/2011 15:30:00,27944.71,28695.91,27644.23,27644.23,65162
1/2/2012 15:30:00,27869.59,27944.71,27306.19,27343.75,33761
1/3/2012 15:30:00,27456.43,28170.07,27155.95,28019.83,61298
1/4/2012 15:30:00,28357.87,29296.88,28057.39,28921.27,92695
1/5/2012 15:30:00,29296.88,30311,28883.71,29897.84,130668
1/6/2012 15:30:00,29672.48,30160.76,29296.88,30048.08,51779
1/9/2012 15:30:00,29860.28,32076.32,29597.36,31888.52,126877
1/10/2012 15:30:00,32113.88,32113.88,30611.48,30874.4,72024
1/11/2012 15:30:00,30874.4,31024.64,29597.36,29822.72,73443
1/12/2012 15:30:00,29785.16,30799.28,29785.16,30048.08,50392
1/13/2012 15:30:00,30160.76,31550.48,29972.96,30874.4,50606
1/16/2012 15:30:00,30573.92,35456.73,30235.88,33240.69,633807
1/17/2012 15:30:00,33203.13,33390.93,31550.48,31926.08,159567
1/18/2012 15:30:00,31963.64,32189,30573.92,30573.92,113808
1/19/2012 15:30:00,30686.6,31362.68,30611.48,30799.28,43042
1/20/2012 15:30:00,30799.28,31325.12,30273.44,31325.12,53438
1/25/2012 15:30:00,32113.88,32113.88,31325.12,31400.24,39297
1/26/2012 15:30:00,31475.36,32902.64,30874.4,32639.72,62054
1/27/2012 15:30:00,32789.96,34555.29,32677.28,34367.49,135504
1/30/2012 15:30:00,34743.09,38649.34,33954.33,36433.29,282407
1/31/2012 15:30:00,37146.94,37747.9,35644.53,36808.89,152831
2/1/2012 15:30:00,40489.78,42292.67,36545.97,36959.13,667814
2/2/2012 15:30:00,37560.1,37860.58,36057.69,36846.45,147260
